NO,KD_CAB,JENIS_KANTOR,KLASIFIKASI,NAMA_KANTOR,STATUS
1,1,KANTOR PUSAT,KANTOR PUSAT,KANTOR PUSAT,AKTIF
2,100,CABANG KOORDINATOR MEDAN,CABANG UTAMA,CABANG UTAMA MEDAN,AKTIF
3,103,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM SISINGAMANGARAJA,AKTIF
4,104,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 2,CAPEM RSU PIRNGADI,AKTIF
5,105,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 2,CAPEM KANTOR GUBSU,AKTIF
6,115,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 2,CAPEM PULO BRAYAN,AKTIF
7,120,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 2,CAPEM PETISAH,AKTIF
8,121,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 2,CAPEM BELAWAN,AKTIF
9,122,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 2,CAPEM SUTOMO,AKTIF
10,131,KANTOR KAS,CABANG PEMBANTU KELAS 4,KANTOR KAS S. PARMAN,AKTIF
11,134,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3 MIKRO,CAPEM PASAR MARTUBUNG,AKTIF
12,136,KANTOR KAS,KANTOR KAS ,KANTOR KAS MAIMUN ,TUTUP
13,139,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3 MIKRO,CAPEM PASAR SAMBAS ,TUTUP
14,140,KANTOR KAS,KANTOR KAS ,KANTOR KAS KL YOS SUDARSO ,TUTUP
15,141,KANTOR KAS,CABANG PEMBANTU KELAS 4,KANTOR KAS DISPENDA MEDAN,AKTIF
16,151,KANTOR KAS,KANTOR KAS ,KANTOR KAS VETERAN ,TUTUP
17,155,KANTOR KAS,CABANG PEMBANTU KELAS 4,KANTOR KAS MABAR,AKTIF
18,161,KANTOR KAS,KANTOR KAS,KANTOR KAS UPT PEMKO MEDAN WILAYAH II,TUTUP
19,162,KANTOR KAS,KANTOR KAS,KANTOR KAS UPT PEMKO MEDAN WILAYAH IV,TUTUP
20,163,KANTOR KAS,KANTOR KAS,KANTOR KAS UPT PEMKO MEDAN WILAYAH VI,TUTUP
21,165,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM UPT PEMKO MEDAN WILAYAH I,TUTUP
